exp	description	val_bpb	peak_mem_gb	tok_sec	mfu	steps	status	notes
exp60	Change ADAM_BETAS from (0.8, 0.95) to (0.55, 0.95)	0.964231	15.5	58313	18.0	533	discard	The trend in experiments 54-59 shows that reducing the first Adam beta consisten
exp61	Change ADAM_BETAS from (0.8, 0.95) to (0.8, 0.99)	0.970787	15.5	57589	17.8	529	discard	The beta1 experiments (exp57-60) showed minor improvements around 0.6-0.7, but w
exp62	Change ADAM_BETAS from (0.8, 0.95) to (0.8, 0.9)	0.968796	15.5	57922	17.9	532	discard	The experiments with beta2=0.99 performed worse, but we haven't tried reducing b
exp63	Change ADAM_BETAS from (0.8, 0.95) to (0.6, 0.9)	0.972112	15.5	55296	17.1	507	discard	The best result so far (exp2, 0.9625) had more gradient steps due to smaller bat
exp64	Change ADAM_BETAS from (0.8, 0.95) to (0.5, 0.95)	0.974842	15.5	53928	16.6	493	discard	The experiments with ADAM_BETAS show a clear trend: lower beta1 values (0.6, 0.6
exp65	Reduce ASPECT_RATIO from 32 to 28	0.970916	15.5	56628	17.5	520	discard	I've exhaustively explored MATRIX_LR and ADAM_BETAS adjustments with minimal gai
exp66	Reduce ASPECT_RATIO from 32 to 24	0.967218	15.5	58313	18.0	534	discard	The current best experiment (exp2) achieved 0.9625 val_bpb by reducing device ba
exp67	Reduce ASPECT_RATIO from 32 to 20	0.966698	15.5	58313	18.0	534	discard	The trend shows reducing ASPECT_RATIO from 32 to 28 (exp65) and then to 24 (exp6
exp68	Reduce ASPECT_RATIO from 32 to 16	0.998183	10.3	105929	12.7	970	discard	The trend from experiments 65-67 shows that reducing ASPECT_RATIO consistently i
exp69	Reduce ASPECT_RATIO from 32 to 12	0.986721	10.3	106964	12.8	981	discard	The trend shows that reducing ASPECT_RATIO generally improves performance, with 
exp70	Reduce ASPECT_RATIO from 32 to 8	0.998054	10.3	106928	12.8	981	discard	The recent experiments with lower aspect ratios (16 and 12) showed dramatically 
exp71	Increase ASPECT_RATIO from 32 to 36	0.993592	20.7	37221	21.0	342	discard	The experiments reducing ASPECT_RATIO (exp65-70) all performed worse than baseli
exp72	Increase ASPECT_RATIO from 32 to 40	0.992690	20.7	37296	21.0	342	discard	The current best is exp2 with reduced device batch size. Since reducing aspect r
exp73	Increase ASPECT_RATIO from 32 to 44	1.001323	20.7	35940	20.3	331	discard	The recent experiments with higher aspect ratios (36, 40) showed improvement tre
exp74	Increase ASPECT_RATIO from 32 to 48	1.003672	20.7	35619	20.1	327	discard	The experiments with larger aspect ratios (36, 40, 44) showed progressively wors
exp75	Increase WARMUP_RATIO from 0.0 to 0.05	0.972790	15.5	56572	17.5	519	discard	The current best result (exp2) achieved 0.9625 val_bpb with reduced device batch
exp76	Reduce WARMDOWN_RATIO from 0.5 to 0.4	0.968602	15.5	57922	17.9	531	discard	The current best result has WARMDOWN_RATIO at 0.5, and experiment 8 showed that 
exp77	Reduce WARMDOWN_RATIO from 0.5 to 0.35	0.967598	15.5	58647	18.1	538	discard	The current best result (exp2) has val_bpb of 0.9625. Recent experiments with wa
exp78	Reduce WARMDOWN_RATIO from 0.5 to 0.25	0.971037	15.5	58588	18.1	537	discard	The recent experiments with warmdown reduction (exp76: 0.4 → 0.9686, exp77: 0.35
exp79	Reduce WARMDOWN_RATIO from 0.5 to 0.2	0.974028	15.5	58627	18.1	538	discard	The trend in experiments 76-78 shows that reducing WARMDOWN_RATIO improves val_b
exp80	Reduce WARMDOWN_RATIO from 0.5 to 0.15	0.977920	15.5	58569	18.1	538	discard	The current best experiment (exp2) achieved 0.9625 val_bpb with reduced device b
exp81	Reduce WARMDOWN_RATIO from 0.5 to 0.1	0.984659	15.5	58588	18.1	536	discard	The recent experiments show that reducing WARMDOWN_RATIO has been gradually impr
exp82	Reduce HEAD_DIM from 128 to 112	1.015568	19.5	38269	17.6	352	discard	The current best result comes from exp2 which reduced device batch size to incre
exp83	Increase FINAL_LR_FRAC from 0.0 to 0.1	0.966066	15.5	57666	17.8	527	discard	The current learning rate schedule drops to exactly 0 at the end (FINAL_LR_FRAC=
exp84	Increase FINAL_LR_FRAC from 0.0 to 0.05	0.968349	15.5	56647	17.5	520	discard	Experiment 83 showed that increasing FINAL_LR_FRAC to 0.1 hurt performance, but 
exp85	Increase FINAL_LR_FRAC from 0.0 to 0.02	0.970040	15.5	56628	17.5	519	discard	The current best result (exp2) has val_bpb of 0.9625. Recent experiments with FI
exp86	Reduce WEIGHT_DECAY from 0.2 to 0.05	0.965061	15.5	58941	18.2	539	discard	The extensive search through learning rates and other hyperparameters has yielde
exp87	Increase DEVICE_BATCH_SIZE slightly from exp2's value to find optimal batch size	0.000000	0.0	0	0.0	0	crash	training crashed or timed out
exp88	Reduce WEIGHT_DECAY from 0.2 to 0.15	0.962132	15.5	59900	18.5	549	keep	Previous experiments showed that reducing weight decay to 0.1 gave 0.9823 and to
exp89	Reduce WEIGHT_DECAY from 0.15 to 0.1	0.964729	15.5	58882	18.1	539	discard	Exp88 improved val_bpb to 0.9621 by reducing weight decay from 0.2 to 0.15, show
exp90	Reduce WEIGHT_DECAY from 0.15 to 0.12	0.964552	15.5	58941	18.2	540	discard	Exp88 achieved the best val_bpb (0.9621) by reducing weight decay to 0.15, and e
exp91	Reduce WEIGHT_DECAY from 0.15 to 0.13	0.964815	15.5	58921	18.2	541	discard	The current best result (0.9621) came from reducing WEIGHT_DECAY to 0.15. Experi
exp92	Reduce WEIGHT_DECAY from 0.15 to 0.14	0.964209	15.5	58901	18.2	541	discard	The current best result (exp88) reduced weight decay from 0.2 to 0.15, achieving
exp93	Increase WEIGHT_DECAY from 0.15 to 0.16	0.964715	15.5	58901	18.2	541	discard	The current best experiment (exp88) reduced weight decay from 0.2 to 0.15, achie
exp94	Increase WEIGHT_DECAY from 0.15 to 0.17	0.965347	15.5	58921	18.1	539	discard	The current best is WEIGHT_DECAY=0.15 with val_bpb=0.9621. Recent experiments sh
exp95	Increase WEIGHT_DECAY from 0.15 to 0.18	0.970040	15.5	56924	17.5	521	discard	The recent weight decay experiments show a clear pattern - reducing from 0.2 to 
exp96	Reduce WEIGHT_DECAY from 0.15 to 0.08	0.970822	15.5	56295	17.4	517	discard	The experiments show weight decay reduction has been promising - exp88 achieved 
exp97	Reduce WEIGHT_DECAY from 0.15 to 0.11	0.964886	15.5	58588	18.1	538	discard	The current best (exp88) has WEIGHT_DECAY=0.15 at 0.9621 val_bpb. Recent experim
exp98	Reduce UNEMBEDDING_LR from 0.0041 to 0.0035	0.961600	15.5	59274	18.3	542	keep	The current best experiment (exp88) achieved 0.9621 val_bpb with WEIGHT_DECAY=0.
exp99	Reduce UNEMBEDDING_LR from 0.0035 to 0.003	0.961905	15.5	59214	18.2	542	discard	The recent experiment (exp98) achieved the best val_bpb so far by reducing UNEMB
exp100	Reduce UNEMBEDDING_LR from 0.0035 to 0.0032	0.961872	15.5	58960	18.2	541	discard	The last experiment (exp98) improved val_bpb by reducing UNEMBEDDING_LR from 0.0
exp101	Increase UNEMBEDDING_LR from 0.0035 to 0.0037	0.965089	15.5	59333	18.3	542	discard	The current best result (exp98) reduced UNEMBEDDING_LR from 0.0041 to 0.0035, ac
exp102	Reduce UNEMBEDDING_LR from 0.0035 to 0.0033	0.960601	15.5	59234	18.3	543	keep	The current best result (0.9616) came from reducing UNEMBEDDING_LR to 0.0035. Ex
